features,importance
AMT_ANNUITY,60.400000000000006
AMT_CREDIT,26.4
AMT_GOODS_PRICE,27.799999999999997
AMT_INCOME_TOTAL,6.0
AMT_REQ_CREDIT_BUREAU_DAY,0.2
AMT_REQ_CREDIT_BUREAU_HOUR,0.4
AMT_REQ_CREDIT_BUREAU_MON,0.0
AMT_REQ_CREDIT_BUREAU_QRT,4.3999999999999995
AMT_REQ_CREDIT_BUREAU_WEEK,0.8
AMT_REQ_CREDIT_BUREAU_YEAR,1.6
APARTMENTS_AVG,3.4000000000000004
APARTMENTS_MEDI,2.2
APARTMENTS_MODE,3.5999999999999996
BASEMENTAREA_AVG,1.6
BASEMENTAREA_MEDI,1.6
BASEMENTAREA_MODE,1.8000000000000003
CNT_CHILDREN,0.8
CNT_FAM_MEMBERS,0.6000000000000001
COMMONAREA_AVG,2.0
COMMONAREA_MEDI,0.6000000000000001
COMMONAREA_MODE,2.4000000000000004
DAYS_BIRTH,56.6
DAYS_EMPLOYED,33.400000000000006
DAYS_ID_PUBLISH,28.4
DAYS_LAST_PHONE_CHANGE,12.399999999999999
DAYS_REGISTRATION,17.8
DEF_30_CNT_SOCIAL_CIRCLE,13.399999999999999
DEF_60_CNT_SOCIAL_CIRCLE,5.6
ELEVATORS_AVG,0.8
ELEVATORS_MEDI,0.0
ELEVATORS_MODE,0.2
ENTRANCES_AVG,1.4000000000000001
ENTRANCES_MEDI,0.6000000000000001
ENTRANCES_MODE,1.4
EXT_SOURCE_1,48.0
EXT_SOURCE_2,44.599999999999994
EXT_SOURCE_3,48.400000000000006
FLAG_CONT_MOBILE,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_11,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_13,0.0
FLAG_DOCUMENT_14,0.0
FLAG_DOCUMENT_15,0.0
FLAG_DOCUMENT_16,0.2
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_18,1.7999999999999998
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
FLAG_DOCUMENT_3,8.6
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_5,0.0
FLAG_DOCUMENT_6,0.8
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_8,0.0
FLAG_DOCUMENT_9,0.0
FLAG_EMAIL,0.0
FLAG_EMP_PHONE,0.0
FLAG_MOBIL,0.0
FLAG_OWN_CAR,0.2
FLAG_OWN_REALTY,0.4
FLAG_PHONE,1.0
FLAG_WORK_PHONE,4.8
FLOORSMAX_AVG,3.8000000000000003
FLOORSMAX_MEDI,1.0
FLOORSMAX_MODE,0.2
FLOORSMIN_AVG,0.8
FLOORSMIN_MEDI,0.6000000000000001
FLOORSMIN_MODE,0.6000000000000001
HOUR_APPR_PROCESS_START,3.2
LANDAREA_AVG,2.4
LANDAREA_MEDI,2.0
LANDAREA_MODE,1.8
LIVE_CITY_NOT_WORK_CITY,0.0
LIVE_REGION_NOT_WORK_REGION,0.0
LIVINGAPARTMENTS_AVG,1.4
LIVINGAPARTMENTS_MEDI,0.8
LIVINGAPARTMENTS_MODE,2.2
LIVINGAREA_AVG,5.4
LIVINGAREA_MEDI,2.4
LIVINGAREA_MODE,3.0
NAME_CONTRACT_TYPE,10.400000000000002
NONLIVINGAPARTMENTS_AVG,0.2
NONLIVINGAPARTMENTS_MEDI,0.4
NONLIVINGAPARTMENTS_MODE,2.0
NONLIVINGAREA_AVG,0.8
NONLIVINGAREA_MEDI,2.2
NONLIVINGAREA_MODE,2.0000000000000004
OBS_30_CNT_SOCIAL_CIRCLE,1.2
OBS_60_CNT_SOCIAL_CIRCLE,1.2
OWN_CAR_AGE,19.200000000000003
REGION_POPULATION_RELATIVE,8.0
REGION_RATING_CLIENT,0.4
REGION_RATING_CLIENT_W_CITY,11.600000000000001
REG_CITY_NOT_LIVE_CITY,5.2
REG_CITY_NOT_WORK_CITY,0.4
REG_REGION_NOT_LIVE_REGION,0.0
REG_REGION_NOT_WORK_REGION,0.4
TOTALAREA_MODE,9.400000000000002
YEARS_BEGINEXPLUATATION_AVG,5.199999999999999
YEARS_BEGINEXPLUATATION_MEDI,3.6
YEARS_BEGINEXPLUATATION_MODE,4.2
YEARS_BUILD_AVG,1.6
YEARS_BUILD_MEDI,0.4
YEARS_BUILD_MODE,1.0
CREDIT_ANNUITY_RATIO,102.60000000000001
CREDIT_INCOME_RATIO,10.799999999999999
ANNUITY_INCOME_RATIO,27.4
AGE_CAR_AGE_RATIO,16.4
GOODS_PRICE_INCOME_RATIO,8.0
INCOME_FAMILY,4.8
EXT_SOURCES_MEAN,90.2
EXT_SOURCES_PROD,30.800000000000004
RR_MEAN,4.6
EMPLPYOED_TO_AGE,23.799999999999997
CODE_GENDER_F,13.0
CODE_GENDER_M,15.799999999999999
CODE_GENDER_XNA,0.0
CODE_GENDER_nan,0.0
EMERGENCYSTATE_MODE_No,0.0
EMERGENCYSTATE_MODE_Yes,0.0
EMERGENCYSTATE_MODE_nan,0.0
FONDKAPREMONT_MODE_not specified,0.2
FONDKAPREMONT_MODE_org spec account,0.0
FONDKAPREMONT_MODE_reg oper account,0.0
FONDKAPREMONT_MODE_reg oper spec account,0.0
FONDKAPREMONT_MODE_nan,0.0
HOUSETYPE_MODE_block of flats,0.0
HOUSETYPE_MODE_specific housing,0.4
HOUSETYPE_MODE_terraced house,0.4
HOUSETYPE_MODE_nan,0.0
NAME_EDUCATION_TYPE_Academic degree,0.0
NAME_EDUCATION_TYPE_Higher education,14.4
NAME_EDUCATION_TYPE_Incomplete higher,0.0
